Node	Class
LNS	0
LNY	1
LOU	0
LOZ	1
LPO	0
LPR	0
LPS	0
LRD	1
LRU	0
LSE	0
LSF	0
LSV	0
LUK	0
LUP	0
LUR	0
LVD	0
LVK	0
LWB	0
LWM	0
LWS	1
LYH	0
LZU	0
MA1	0
MA2	0
MA5	0
MAF	1
MAZ	0
MBL	0
MBS	0
MCC	0
MCE	0
MCG	1
MCI	1
MCK	1
MCN	0
MCO	1
MCW	1
MD1	0
MD2	0
MDF	0
MDH	0
MDO	1
MDT	1
MDW	0
ME3	0
ME4	0
ME7	0
MEI	0
MEM	1
MEO	1
MFD	0
MFE	1
MFH	1
MFR	1
MGM	0
MGW	0
MHK	0
MHM	0
MHR	1
MHT	1
MHV	1
MIA	1
MIB	0
MIE	0
MKC	0
MKE	1
MKG	0
MKK	1
MKL	1
MLB	0
MLI	0
MLL	1
MLU	1
MLY	0
MMH	0
MMT	0
MMU	0
MNT	0
MNZ	0
MOB	0
MOD	0
MOT	1
MOU	1
MPV	0
MQI	0
MQT	1
MQY	0
MRC	0
MRF	0
MRI	1
MRY	1
MS4	0
MSL	1
MSN	1
MSO	1
MSP	1
MSS	0
MSY	1
MTH	1
MTJ	0
MTM	0
MTN	0
MTP	0
MUE	0
MVL	0
MVM	0
MVW	1
MVY	1
MWA	0
MWH	1
MXY	0
MYK	0
MYR	1
MYU	1
MZJ	0
N1Y	0
N2C	0
N2Y	0
N3C	0
N3Y	0
NAD	0
NC1	0
NCN	1
NCO	0
NEW	0
NGU	1
NH1	0
NH2	0
NHZ	0
NIB	0
NIP	0
NJ1	0
NKI	0
NLG	1
NME	1
NNK	0
NNL	1
NPT	0
NTD	0
NTU	0
NUI	1
NUL	1
NUP	1
NUQ	0
NUW	0
NV5	0
NY1	0
NY3	0
NY5	0
NY7	0
NYL	1
NZC	1
O1H	0
O2H	0
O3H	0
OAJ	0
OAK	1
OBU	1
OCA	0
OCF	0
OFU	0
OGA	1
OGD	0
OGG	1
OGS	0
OHC	0
OKC	1
OKK	0
OLF	1
OLH	0
OLM	0
OLS	0
OMA	1
OME	1
ONH	0
ONP	1
ONT	1
OOK	1
OPF	0
OPH	0
OR4	1
ORD	1
ORF	1
ORH	0
ORI	0
ORL	0
ORV	1
OSC	0
OSH	1
OSU	0
OTH	1
OTZ	1
OWB	1
OWD	0
OXC	0
PA5	0
PA6	0
PAE	0
PAH	0
PAM	0
PAQ	1
PBF	1
PBG	1
PBI	1
PBK	0
PDB	0
PDK	0
PDT	1
PDX	1
PEC	0
PGA	0
PGC	0
PGD	0
PGM	0
PGS	0
PGV	0
PHF	0
PHL	1
PHO	1
PHX	1
PIA	1
PIB	0
PIE	1
PIH	1
PIP	0
PIR	1
PIT	1
PIZ	1
PKA	1
PKB	1
PLN	1
PML	0
PNE	0
PNS	1
POB	0
PPC	0
PPG	1
PPV	0
PQI	1
PQS	1
PRB	1
PRC	0
PSC	1
PSE	0
PSF	0
PSG	1
PSM	0
PSP	0
PTA	1
PTD	0
PTH	1
PTK	0
PTU	1
PTV	0
PUB	0
PUL	0
PUW	1
PVC	0
PVD	1
PVU	0
PWK	0
PWM	1
PYM	0
QMA	0
QMN	0
QQB	0
QQN	1
QQT	0
RAP	1
RBG	1
RBH	0
RBN	0
RBY	1
RCA	0
RCE	1
RDB	1
RDD	1
RDG	0
RDM	1
RDU	1
RDV	1
RFD	1
RHI	1
RIC	1
RIL	0
RIV	1
RIW	1
RKD	0
RKR	0
RKS	1
RLU	0
RME	0
RMN	0
RMP	1
RND	0
RNO	1
RNT	0
ROA	1
ROC	1
ROG	0
ROP	0
ROW	1
RQI	0
RQY	1
RRT	0
RSH	1
RSJ	0
RSN	0
RST	1
RSW	1
RUI	1
RUT	1
RWI	0
SAA	0
SAC	0
SAF	0
SAN	1
SAT	1
SAV	1
SBA	1
SBD	0
SBM	0
SBN	1
SBP	1
SBY	1
SC1	0
SCC	1
SCE	1
SCF	0
SCH	0
SCK	1
SCM	1
SDF	1
SDM	0
SDP	1
SDX	1
SDY	1
SEA	1
SEF	1
SEG	0
SFB	0
SFM	0
SFO	1
SFZ	0
SGF	1
SGH	0
SGR	0
SGU	1
SGY	0
SHD	0
SHG	1
SHH	1
SHR	1
SHV	1
SHX	1
SIG	0
SIT	1
SJC	1
SJT	1
SJU	1
SKF	0
SKJ	0
SKK	1
SKW	1
SLC	1
SLE	1
SLK	0
SLN	0
SLQ	1
SMF	1
SMK	1
SMN	0
SMO	0
SMX	1
SNA	1
SNP	1
SNS	1
SOP	0
SOV	0
SOW	0
SPA	0
SPB	0
SPI	0
SPN	0
SPS	0
SQA	1
SQV	1
SRQ	0
SRV	1
SSB	0
SSC	0
SSI	0
SSW	0
STC	0
STE	1
STF	0
STG	1
STL	1
STP	0
STS	0
STT	1
STX	1
SUA	0
SUN	1
SUS	0
SUU	0
SUX	0
SVA	1
SVC	0
SVN	0
SVS	0
SVW	0
SWD	0
SWF	1
SWO	0
SXP	1
SXQ	0
SYA	0
SYB	0
SYI	0
SYR	1
SZL	0
T1N	0
T5X	1
T6X	0
TAL	0
TBN	0
TCL	0
TCM	0
TCT	0
TDF	0
TEB	0
TEK	1
TEX	0
THV	0
TIK	0
TIQ	0
TKE	0
TKF	0
TKI	0
TKJ	0
TLA	1
TLF	0
TLH	1
TLJ	0
TLT	1
TMB	0
TN4	0
TN6	0
TN7	0
TN8	0
TNC	0
TNK	1
TOG	1
TOL	0
TPA	1
TPL	1
TRI	0
TRM	0
TSG	0
TSP	1
TTD	1
TTN	0
TUL	1
TUP	0
TUS	1
TVC	1
TVF	0
TWA	0
TWF	1
TXK	0
TYE	1
TYR	0
TYS	1
UAM	0
UBF	0
UCY	0
UES	0
UGI	0
UGN	0
UGS	0
UIN	0
UKI	1
UMT	1
UNK	1
UOX	0
UST	0
UT1	0
UTM	0
UTO	1
UVA	1
UXR	0
UXY	1
VA4	0
VA7	0
VAK	1
VCT	0
VCV	1
VDZ	0
VEE	1
VEL	0
VGC	0
VIK	0
VIS	1
VLD	0
VNY	0
VPS	0
VQS	0
VRB	0
VSF	0
VT1	0
VWD	1
VWE	0
VWK	0
VZY	1
WA1	0
WA3	0
WA5	0
WA6	0
WA7	0
WA9	0
WAA	1
WBB	1
WBQ	1
WCR	0
WFB	0
WHD	0
WKK	0
WLK	1
WMK	0
WMO	1
WNA	1
WQZ	0
WRG	1
WRI	1
WRL	0
WSG	0
WSN	0
WST	0
WSX	0
WTK	1
WTL	1
WVL	0
WWA	0
WWD	0
WWP	0
WWT	1
WYS	0
XNA	0
XSD	0
XWA	0
XWF	1
XXN	1
XXP	1
XXY	1
YAK	1
YIP	0
YKM	1
YNG	0
YUM	0
ZNC	0
ZXC	1
ZXF	0
ZXH	0
ZXM	0
ZXN	0
ZXU	0
ZZV	0
