Node	Class
CEC	1
CEF	1
CEM	1
CEU	0
CEV	0
CEZ	1
CGA	1
CGF	1
CGI	1
CHA	1
CHD	0
CHO	1
CHS	1
CHU	1
CHZ	0
CIC	0
CID	1
CIK	1
CIU	1
CJR	0
CKB	1
CKD	1
CKX	1
CLD	1
CLE	1
CLL	1
CLM	0
CLP	1
CLT	1
CLU	0
CMH	1
CMI	1
CMX	1
CNM	1
CNO	0
CNY	1
COD	1
COE	0
COF	0
CON	0
COS	1
COU	1
CPR	1
CPS	0
CPX	1
CRE	0
CRP	1
CRW	1
CSG	1
CT1	0
CT6	0
CTH	0
CTX	0
CUB	0
CUW	0
CVG	1
CVN	1
CVO	0
CVS	0
CWA	1
CWF	0
CXF	1
CYF	1
CYM	1
CYS	1
CZF	1
CZN	1
DAB	1
DAL	1
DAY	1
DBQ	1
DCA	1
DCK	0
DCU	0
DDC	1
DE2	0
DEC	1
DEN	1
DFW	1
DGB	0
DHB	1
DHN	1
DIK	1
DIO	0
DKK	0
DLG	1
DLH	1
DLO	0
DMA	0
DMN	0
DOF	1
DOV	0
DPA	0
DQH	0
DQL	1
DQS	0
DQU	1
DRF	0
DRG	1
DRO	1
DRT	0
DSI	1
DSM	1
DTO	0
DTR	1
DTW	1
DUA	0
DUJ	1
DUT	1
DVL	1
DVT	0
DWH	1
DXR	0
EAA	1
EAR	1
EAT	1
EAU	1
ECG	0
ECP	1
EDA	1
EDF	0
EEK	1
EEN	1
EFD	1
EGE	1
EGP	0
EGV	0
EGX	1
EHM	0
EKA	0
EKO	1
ELD	1
ELI	1
ELM	1
ELN	0
ELP	1
ELV	1
EMK	1
ENA	1
ENN	0
ENV	0
ENW	0
ERI	1
ESC	1
ESD	1
ESN	0
EUG	1
EVV	1
EWB	1
EWN	1
EWR	1
EXI	1
EYW	1
F70	0
FAI	1
FAL	1
FAQ	1
FAR	1
FAT	1
FAY	1
FBK	0
FBS	1
FCA	1
FCM	0
FDK	0
FDY	0
FET	0
FFO	0
FHB	0
FID	0
FKL	1
FLG	1
FLL	1
FLO	1
FLT	0
FMN	1
FMY	0
FNL	1
FNR	1
FNT	1
FOD	1
FOE	1
FOK	0
FPR	0
FQI	0
FQW	1
FRD	1
FRG	1
FSD	1
FSM	1
FTG	0
FTW	1
FTY	0
FVQ	0
FWA	1
FWH	0
FWL	0
FXE	0
FYU	1
FYV	0
GAD	0
GAI	0
GAL	1
GAM	1
GBD	1
GBH	0
GCC	1
GCK	1
GCN	1
GDC	0
GDV	1
GED	0
GEG	1
GEK	0
GEY	0
GFK	1
GFL	0
GGG	1
GGW	1
GJT	1
GKN	1
GLH	1
GLR	0
GLV	1
GMU	0
GNT	0
GNU	1
GNV	1
GON	0
GPT	1
GQQ	0
GRB	1
GRI	1
GRK	1
GRR	1
GSB	0
GSH	0
GSO	1
GSP	1
GST	1
GTF	1
GTR	1
GTY	0
GUC	1
GUM	1
GUP	0
GWO	0
GYR	1
GYY	0
HAO	0
HAR	0
HBG	0
HBH	0
HCR	1
HDN	1
HES	1
HFD	0
HGR	1
HHH	1
HHR	1
HIB	1
HIF	0
HII	0
HIK	0
HKB	1
HKS	0
HKY	0
HLM	0
HLN	1
HNH	1
HNL	1
HNM	1
HNS	1
HOB	1
HOM	1
HON	1
HOP	0
HOT	1
HOU	1
HPB	1
HPN	1
HRL	1
HRO	1
HSH	1
HSL	1
HSV	1
HTO	0
HTS	1
HUF	0
HUL	0
HUS	1
HVN	1
HVR	1
HYA	1
HYG	1
HYL	1
HYS	1
IAB	0
IAD	1
IAG	1
IAH	1
IAN	1
ICT	1
IDA	1
IFP	1
IGG	1
II3	0
IKK	0
IKO	1
IL2	0
ILG	0
ILI	1
ILM	1
ILN	0
IML	0
IMT	1
IN7	0
IND	1
INL	1
INT	0
IPL	1
IPT	1
IRC	1
IRK	1
ISM	0
ISN	1
ISO	1
ISP	1
ISS	0
ITH	1
ITO	1
IWD	1
IYK	0
JAC	1
JAN	1
JAX	1
JBR	1
JFK	1
JGG	0
JHM	1
JHW	1
JLN	1
JMS	1
JNU	1
JQF	1
JRF	1
JRV	1
JST	1
JVL	0
JXN	0
JZE	0
JZI	0
JZM	0
JZT	0
JZU	0
JZY	0
KAE	1
KAL	1
KBC	1
KBE	0
KCC	1
KCG	1
KCL	1
KCQ	1
KEB	1
KEH	1
KEK	1
KFP	1
KGK	1
KGX	1
KKA	1
KKB	1
KKH	1
KKI	1
KLG	1
KLL	1
KLN	1
KLW	1
KMO	1
KMY	1
KNB	0
KNK	1
KNW	1
KOA	1
KOT	1
KOY	1
KOZ	1
KPB	1
KPC	0
KPN	1
KPR	1
KPV	1
KPY	1
KSM	1
KTB	1
KTN	1
KTS	1
KUK	1
KVC	1
KVL	1
KWF	1
KWK	1
KWN	1
KWP	1
KWT	1
KXA	1
KYK	1
KYU	1
KZB	1
KZH	0
L41	0
LAF	0
LAL	0
LAM	1
LAN	1
LAR	1
LAS	1
LAW	1
LAX	1
LBB	1
LBE	1
LBF	1
LBL	1
LCH	1
LCI	0
LCK	1
LEB	1
LEE	0
LEW	0
LEX	1
LFI	0
LFT	1
LGA	1
LGB	1
LGC	0
LGD	0
LGU	0
LIH	1
LIJ	1
LIT	1
LKE	1
LKK	0
LKP	0
LMA	1
LMT	1
LNK	1
LNS	1
LNY	1
LOU	0
LOZ	0
LPO	0
LPR	0
LPS	1
LRD	1
LRU	0
LSE	1
LSF	0
LSV	0
LUK	1
LUP	1
LUR	1
LVD	0
LVK	0
LWB	1
LWM	0
LWS	1
LYH	1
LZU	0
MA1	0
MA2	0
MA5	0
MAF	1
MAZ	1
MBL	0
MBS	1
MCC	0
MCE	1
MCG	1
MCI	1
MCK	1
MCN	1
MCO	1
MCW	1
MD1	0
MD2	0
MDF	0
MDH	1
MDO	0
MDT	1
MDW	1
ME3	0
ME4	0
ME7	0
MEI	1
MEM	1
MEO	0
MFD	0
MFE	1
MFH	0
MFR	1
MGM	1
MGW	1
MHK	1
MHM	0
MHR	0
MHT	1
MHV	0
MIA	1
MIB	0
MIE	0
MKC	0
MKE	1
MKG	1
MKK	1
MKL	1
MLB	1
MLI	1
MLL	1
MLU	1
MLY	1
MMH	1
MMT	0
MMU	1
MNT	1
MNZ	0
MOB	1
MOD	1
MOT	1
MOU	1
MPV	0
MQI	0
MQT	1
MQY	0
MRC	0
MRF	0
MRI	1
MRY	1
MS4	0
MSL	1
MSN	1
MSO	1
MSP	1
MSS	1
MSY	1
MTH	0
MTJ	1
MTM	1
MTN	0
MTP	0
MUE	1
MVL	1
MVM	0
MVW	0
MVY	1
MWA	1
MWH	0
MXY	1
MYK	1
MYR	1
MYU	1
MZJ	0
N1Y	0
N2C	0
N2Y	0
N3C	0
N3Y	0
NAD	0
NC1	0
NCN	0
NCO	0
NEW	0
NGU	0
NH1	0
NH2	0
NHZ	0
NIB	1
NIP	0
NJ1	0
NKI	1
NLG	1
NME	1
NNK	0
NNL	1
NPT	0
NTD	0
NTU	0
NUI	1
NUL	1
NUP	1
NUQ	1
NUW	0
NV5	0
NY1	0
NY3	0
NY5	0
NY7	0
NYL	0
NZC	0
O1H	0
O2H	0
O3H	0
OAJ	1
OAK	1
OBU	1
OCA	0
OCF	0
OFU	1
OGA	0
OGD	1
OGG	1
OGS	1
OHC	0
OKC	1
OKK	0
OLF	1
OLH	1
OLM	0
OLS	0
OMA	1
OME	1
ONH	0
ONP	0
ONT	1
OOK	1
OPF	0
OPH	0
OR4	0
ORD	1
ORF	1
ORH	1
ORI	1
ORL	1
ORV	1
OSC	0
OSH	0
OSU	0
OTH	1
OTZ	1
OWB	1
OWD	0
OXC	1
PA5	0
PA6	0
PAE	1
PAH	1
PAM	0
PAQ	1
PBF	0
PBG	1
PBI	1
PBK	1
PDB	1
PDK	0
PDT	1
PDX	1
PEC	1
PGA	1
PGC	0
PGD	1
PGM	1
PGS	0
PGV	1
PHF	1
PHL	1
PHO	1
PHX	1
PIA	1
PIB	1
PIE	1
PIH	1
PIP	1
PIR	1
PIT	1
PIZ	1
PKA	1
PKB	1
PLN	1
PML	1
PNE	0
PNS	1
POB	0
PPC	0
PPG	1
PPV	1
PQI	1
PQS	1
PRB	0
PRC	1
PSC	1
PSE	1
PSF	0
PSG	1
PSM	1
PSP	1
PTA	1
PTD	0
PTH	1
PTK	0
PTU	1
PTV	1
PUB	1
PUL	0
PUW	1
PVC	1
PVD	1
PVU	1
PWK	0
PWM	1
PYM	0
QMA	1
QMN	0
QQB	1
QQN	0
QQT	0
RAP	1
RBG	0
RBH	1
RBN	0
RBY	1
RCA	0
RCE	1
RDB	1
RDD	1
RDG	0
RDM	1
RDU	1
RDV	1
RFD	1
RHI	1
RIC	1
RIL	0
RIV	0
RIW	1
RKD	1
RKR	1
RKS	1
RLU	0
RME	0
RMN	0
RMP	1
RND	0
RNO	1
RNT	1
ROA	1
ROC	1
ROG	0
ROP	1
ROW	1
RQI	1
RQY	0
RRT	0
RSH	1
RSJ	0
RSN	0
RST	1
RSW	1
RUI	0
RUT	1
RWI	1
SAA	0
SAC	0
SAF	1
SAN	1
SAT	1
SAV	1
SBA	1
SBD	0
SBM	0
SBN	1
SBP	1
SBY	1
SC1	0
SCC	1
SCE	1
SCF	0
SCH	0
SCK	1
SCM	1
SDF	1
SDM	0
SDP	1
SDX	0
SDY	1
SEA	1
SEF	0
SEG	0
SFB	1
SFM	0
SFO	1
SFZ	0
SGF	1
SGH	0
SGR	0
SGU	1
SGY	1
SHD	1
SHG	1
SHH	1
SHR	0
SHV	1
SHX	1
SIG	1
SIT	1
SJC	1
SJT	1
SJU	1
SKF	0
SKJ	1
SKK	1
SKW	1
SLC	1
SLE	0
SLK	1
SLN	1
SLQ	1
SMF	1
SMK	1
SMN	1
SMO	0
SMX	1
SNA	1
SNP	1
SNS	0
SOP	0
SOV	1
SOW	1
SPA	0
SPB	1
SPI	1
SPN	1
SPS	1
SQA	0
SQV	0
SRQ	1
SRV	1
SSB	1
SSC	0
SSI	0
SSW	0
STC	1
STE	0
STF	0
STG	1
STL	1
STP	0
STS	1
STT	1
STX	1
SUA	0
SUN	1
SUS	0
SUU	0
SUX	1
SVA	1
SVC	1
SVN	0
SVS	1
SVW	0
SWD	0
SWF	1
SWO	1
SXP	1
SXQ	0
SYA	0
SYB	1
SYI	0
SYR	1
SZL	0
T1N	0
T5X	0
T6X	0
TAL	1
TBN	1
TCL	0
TCM	0
TCT	1
TDF	0
TEB	0
TEK	0
TEX	1
THV	0
TIK	0
TIQ	1
TKE	1
TKF	0
TKI	0
TKJ	1
TLA	1
TLF	0
TLH	1
TLJ	1
TLT	1
TMB	0
TN4	0
TN6	0
TN7	0
TN8	0
TNC	1
TNK	1
TOG	1
TOL	1
TPA	1
TPL	0
TRI	1
TRM	0
TSG	0
TSP	0
TTD	0
TTN	1
TUL	1
TUP	1
TUS	1
TVC	1
TVF	1
TWA	1
TWF	1
TXK	1
TYE	0
TYR	1
TYS	1
UAM	0
UBF	0
UCY	0
UES	0
UGI	1
UGN	0
UGS	1
UIN	1
UKI	0
UMT	1
UNK	1
UOX	0
UST	1
UT1	0
UTM	1
UTO	1
UVA	0
UXR	0
UXY	0
VA4	0
VA7	0
VAK	1
VCT	0
VCV	0
VDZ	1
VEE	1
VEL	1
VGC	0
VIK	0
VIS	1
VLD	1
VNY	0
VPS	1
VQS	1
VRB	1
VSF	0
VT1	1
VWD	0
VWE	0
VWK	0
VZY	0
WA1	0
WA3	1
WA5	0
WA6	1
WA7	1
WA9	0
WAA	1
WBB	1
WBQ	1
WCR	0
WFB	1
WHD	1
WKK	1
WLK	1
WMK	1
WMO	1
WNA	1
WQZ	0
WRG	1
WRI	0
WRL	1
WSG	0
WSN	1
WST	1
WSX	1
WTK	1
WTL	1
WVL	0
WWA	0
WWD	0
WWP	1
WWT	1
WYS	1
XNA	1
XSD	0
XWA	0
XWF	0
XXN	0
XXP	0
XXY	0
YAK	1
YIP	0
YKM	1
YNG	1
YUM	1
ZNC	0
ZXC	0
ZXF	0
ZXH	1
ZXM	1
ZXN	1
ZXU	0
ZZV	0
