Node	Class
CEC	0
CEF	1
CEM	1
CEU	1
CEV	0
CEZ	0
CGA	1
CGF	1
CGI	0
CHA	1
CHD	1
CHO	1
CHS	1
CHU	1
CHZ	0
CIC	0
CID	1
CIK	1
CIU	0
CJR	1
CKB	1
CKD	1
CKX	1
CLD	1
CLE	1
CLL	1
CLM	1
CLP	0
CLT	1
CLU	1
CMH	1
CMI	1
CMX	1
CNM	0
CNO	1
CNY	0
COD	0
COE	1
COF	0
CON	1
COS	1
COU	1
CPR	1
CPS	1
CPX	1
CRE	1
CRP	1
CRW	1
CSG	1
CT1	1
CT6	1
CTH	1
CTX	1
CUB	1
CUW	1
CVG	1
CVN	0
CVO	0
CVS	1
CWA	1
CWF	1
CXF	1
CYF	1
CYM	0
CYS	1
CZF	1
CZN	1
DAB	1
DAL	1
DAY	1
DBQ	1
DCA	1
DCK	1
DCU	1
DDC	0
DE2	1
DEC	0
DEN	1
DFW	1
DGB	1
DHB	1
DHN	1
DIK	0
DIO	1
DKK	1
DLG	1
DLH	1
DLO	1
DMA	1
DMN	1
DOF	1
DOV	1
DPA	1
DQH	0
DQL	1
DQS	1
DQU	0
DRF	0
DRG	1
DRO	1
DRT	0
DSI	1
DSM	1
DTO	1
DTR	1
DTW	1
DUA	1
DUJ	0
DUT	1
DVL	0
DVT	1
DWH	0
DXR	1
EAA	1
EAR	1
EAT	0
EAU	1
ECG	1
ECP	1
EDA	1
EDF	1
EEK	1
EEN	1
EFD	1
EGE	1
EGP	0
EGV	1
EGX	1
EHM	1
EKA	0
EKO	1
ELD	1
ELI	1
ELM	1
ELN	1
ELP	1
ELV	1
EMK	1
ENA	1
ENN	1
ENV	1
ENW	1
ERI	1
ESC	1
ESD	1
ESN	1
EUG	1
EVV	1
EWB	1
EWN	0
EWR	1
EXI	1
EYW	1
F70	1
FAI	1
FAL	0
FAQ	0
FAR	1
FAT	1
FAY	1
FBK	1
FBS	1
FCA	1
FCM	1
FDK	1
FDY	0
FET	0
FFO	1
FHB	1
FID	1
FKL	0
FLG	1
FLL	1
FLO	1
FLT	0
FMN	0
FMY	1
FNL	1
FNR	1
FNT	1
FOD	1
FOE	1
FOK	1
FPR	1
FQI	1
FQW	1
FRD	1
FRG	1
FSD	1
FSM	0
FTG	1
FTW	1
FTY	1
FVQ	1
FWA	1
FWH	1
FWL	1
FXE	1
FYU	1
FYV	1
GAD	0
GAI	1
GAL	1
GAM	1
GBD	0
GBH	1
GCC	1
GCK	1
GCN	1
GDC	0
GDV	0
GED	1
GEG	1
GEK	1
GEY	0
GFK	1
GFL	1
GGG	1
GGW	1
GJT	1
GKN	0
GLH	1
GLR	0
GLV	1
GMU	1
GNT	0
GNU	1
GNV	1
GON	1
GPT	1
GQQ	1
GRB	1
GRI	1
GRK	1
GRR	1
GSB	1
GSH	1
GSO	1
GSP	1
GST	1
GTF	1
GTR	1
GTY	1
GUC	0
GUM	1
GUP	0
GWO	1
GYR	0
GYY	1
HAO	1
HAR	1
HBG	1
HBH	1
HCR	1
HDN	1
HES	0
HFD	1
HGR	1
HHH	1
HHR	0
HIB	1
HIF	1
HII	0
HIK	0
HKB	1
HKS	0
HKY	1
HLM	1
HLN	1
HNH	1
HNL	1
HNM	0
HNS	1
HOB	0
HOM	1
HON	0
HOP	1
HOT	1
HOU	1
HPB	1
HPN	1
HRL	1
HRO	0
HSH	1
HSL	1
HSV	1
HTO	1
HTS	1
HUF	1
HUL	0
HUS	1
HVN	1
HVR	0
HYA	1
HYG	1
HYL	1
HYS	0
IAB	0
IAD	1
IAG	1
IAH	1
IAN	1
ICT	1
IDA	1
IFP	1
IGG	1
II3	1
IKK	1
IKO	1
IL2	1
ILG	1
ILI	1
ILM	1
ILN	1
IML	1
IMT	0
IN7	1
IND	1
INL	1
INT	1
IPL	1
IPT	1
IRC	1
IRK	0
ISM	1
ISN	1
ISO	1
ISP	1
ISS	1
ITH	1
ITO	1
IWD	0
IYK	0
JAC	1
JAN	1
JAX	1
JBR	1
JFK	1
JGG	1
JHM	0
JHW	1
JLN	1
JMS	0
JNU	1
JQF	1
JRF	0
JRV	1
JST	1
JVL	1
JXN	0
JZE	1
JZI	1
JZM	1
JZT	1
JZU	1
JZY	1
KAE	1
KAL	1
KBC	1
KBE	1
KCC	1
KCG	1
KCL	1
KCQ	1
KEB	0
KEH	1
KEK	1
KFP	1
KGK	1
KGX	1
KKA	1
KKB	1
KKH	1
KKI	1
KLG	1
KLL	1
KLN	1
KLW	1
KMO	1
KMY	1
KNB	1
KNK	1
KNW	1
KOA	1
KOT	1
KOY	0
KOZ	1
KPB	0
KPC	1
KPN	1
KPR	1
KPV	1
KPY	1
KSM	1
KTB	1
KTN	1
KTS	1
KUK	1
KVC	1
KVL	1
KWF	1
KWK	1
KWN	1
KWP	1
KWT	1
KXA	1
KYK	1
KYU	1
KZB	1
KZH	1
L41	1
LAF	1
LAL	1
LAM	0
LAN	1
LAR	1
LAS	1
LAW	1
LAX	1
LBB	1
LBE	1
LBF	1
LBL	0
LCH	1
LCI	1
LCK	1
LEB	1
LEE	1
LEW	1
LEX	1
LFI	1
LFT	1
LGA	1
LGB	1
LGC	1
LGD	0
LGU	1
LIH	1
LIJ	0
LIT	1
LKE	1
LKK	1
LKP	1
LMA	1
LMT	0
LNK	1
LNS	1
LNY	1
LOU	1
LOZ	0
LPO	1
LPR	0
LPS	1
LRD	1
LRU	1
LSE	1
LSF	1
LSV	1
LUK	1
LUP	0
LUR	1
LVD	1
LVK	1
LWB	1
LWM	1
LWS	1
LYH	1
LZU	0
MA1	1
MA2	1
MA5	1
MAF	1
MAZ	0
MBL	1
MBS	1
MCC	0
MCE	0
MCG	1
MCI	1
MCK	1
MCN	1
MCO	1
MCW	1
MD1	1
MD2	1
MDF	1
MDH	1
MDO	0
MDT	1
MDW	1
ME3	1
ME4	1
ME7	1
MEI	0
MEM	1
MEO	0
MFD	1
MFE	1
MFH	0
MFR	1
MGM	1
MGW	1
MHK	1
MHM	1
MHR	1
MHT	1
MHV	0
MIA	1
MIB	0
MIE	1
MKC	1
MKE	1
MKG	1
MKK	1
MKL	1
MLB	1
MLI	1
MLL	1
MLU	1
MLY	1
MMH	1
MMT	1
MMU	1
MNT	1
MNZ	1
MOB	1
MOD	1
MOT	1
MOU	1
MPV	1
MQI	1
MQT	1
MQY	1
MRC	1
MRF	1
MRI	1
MRY	1
MS4	1
MSL	1
MSN	1
MSO	1
MSP	1
MSS	1
MSY	1
MTH	1
MTJ	1
MTM	1
MTN	1
MTP	1
MUE	0
MVL	1
MVM	1
MVW	1
MVY	1
MWA	1
MWH	0
MXY	0
MYK	0
MYR	1
MYU	1
MZJ	1
N1Y	1
N2C	1
N2Y	1
N3C	1
N3Y	1
NAD	1
NC1	1
NCN	0
NCO	1
NEW	1
NGU	1
NH1	1
NH2	1
NHZ	1
NIB	1
NIP	1
NJ1	1
NKI	1
NLG	1
NME	1
NNK	1
NNL	1
NPT	1
NTD	1
NTU	1
NUI	1
NUL	1
NUP	1
NUQ	1
NUW	0
NV5	1
NY1	1
NY3	1
NY5	1
NY7	1
NYL	1
NZC	0
O1H	1
O2H	1
O3H	1
OAJ	1
OAK	1
OBU	1
OCA	1
OCF	1
OFU	0
OGA	0
OGD	1
OGG	1
OGS	0
OHC	1
OKC	1
OKK	0
OLF	0
OLH	1
OLM	1
OLS	0
OMA	1
OME	1
ONH	1
ONP	1
ONT	1
OOK	1
OPF	1
OPH	1
OR4	0
ORD	1
ORF	1
ORH	1
ORI	1
ORL	1
ORV	1
OSC	1
OSH	1
OSU	1
OTH	1
OTZ	1
OWB	1
OWD	1
OXC	1
PA5	1
PA6	1
PAE	1
PAH	1
PAM	1
PAQ	1
PBF	0
PBG	1
PBI	1
PBK	1
PDB	1
PDK	1
PDT	1
PDX	1
PEC	1
PGA	1
PGC	1
PGD	1
PGM	0
PGS	1
PGV	1
PHF	1
PHL	1
PHO	1
PHX	1
PIA	1
PIB	1
PIE	1
PIH	1
PIP	0
PIR	1
PIT	1
PIZ	1
PKA	1
PKB	1
PLN	1
PML	1
PNE	1
PNS	1
POB	1
PPC	1
PPG	1
PPV	1
PQI	1
PQS	1
PRB	1
PRC	0
PSC	1
PSE	0
PSF	1
PSG	1
PSM	1
PSP	1
PTA	1
PTD	1
PTH	1
PTK	1
PTU	1
PTV	0
PUB	1
PUL	1
PUW	1
PVC	1
PVD	1
PVU	1
PWK	1
PWM	1
PYM	1
QMA	1
QMN	1
QQB	1
QQN	0
QQT	1
RAP	1
RBG	0
RBH	1
RBN	1
RBY	1
RCA	1
RCE	1
RDB	1
RDD	1
RDG	1
RDM	1
RDU	1
RDV	1
RFD	1
RHI	1
RIC	1
RIL	1
RIV	1
RIW	0
RKD	1
RKR	0
RKS	1
RLU	1
RME	1
RMN	1
RMP	1
RND	1
RNO	1
RNT	1
ROA	1
ROC	1
ROG	1
ROP	1
ROW	1
RQI	0
RQY	0
RRT	0
RSH	1
RSJ	1
RSN	1
RST	1
RSW	1
RUI	1
RUT	1
RWI	1
SAA	1
SAC	1
SAF	1
SAN	1
SAT	1
SAV	1
SBA	1
SBD	0
SBM	1
SBN	1
SBP	1
SBY	1
SC1	1
SCC	1
SCE	1
SCF	1
SCH	1
SCK	1
SCM	1
SDF	1
SDM	0
SDP	1
SDX	1
SDY	0
SEA	1
SEF	0
SEG	1
SFB	1
SFM	1
SFO	1
SFZ	1
SGF	1
SGH	1
SGR	1
SGU	1
SGY	1
SHD	1
SHG	1
SHH	1
SHR	0
SHV	1
SHX	1
SIG	1
SIT	1
SJC	1
SJT	1
SJU	1
SKF	1
SKJ	1
SKK	1
SKW	1
SLC	1
SLE	1
SLK	1
SLN	1
SLQ	1
SMF	1
SMK	1
SMN	0
SMO	1
SMX	1
SNA	1
SNP	1
SNS	0
SOP	1
SOV	1
SOW	0
SPA	1
SPB	0
SPI	1
SPN	1
SPS	1
SQA	0
SQV	0
SRQ	1
SRV	1
SSB	0
SSC	1
SSI	1
SSW	1
STC	1
STE	1
STF	1
STG	0
STL	1
STP	1
STS	1
STT	1
STX	1
SUA	1
SUN	1
SUS	1
SUU	1
SUX	1
SVA	1
SVC	0
SVN	1
SVS	1
SVW	0
SWD	1
SWF	1
SWO	1
SXP	1
SXQ	1
SYA	0
SYB	1
SYI	1
SYR	1
SZL	0
T1N	1
T5X	0
T6X	1
TAL	1
TBN	0
TCL	1
TCM	1
TCT	1
TDF	1
TEB	1
TEK	0
TEX	1
THV	1
TIK	1
TIQ	1
TKE	1
TKF	1
TKI	1
TKJ	1
TLA	1
TLF	1
TLH	1
TLJ	1
TLT	1
TMB	1
TN4	0
TN6	0
TN7	1
TN8	1
TNC	1
TNK	1
TOG	1
TOL	1
TPA	1
TPL	0
TRI	1
TRM	1
TSG	1
TSP	0
TTD	0
TTN	1
TUL	1
TUP	1
TUS	1
TVC	1
TVF	1
TWA	0
TWF	1
TXK	0
TYE	1
TYR	1
TYS	1
UAM	0
UBF	1
UCY	1
UES	1
UGI	0
UGN	1
UGS	0
UIN	0
UKI	0
UMT	1
UNK	1
UOX	1
UST	1
UT1	1
UTM	1
UTO	1
UVA	0
UXR	1
UXY	0
VA4	1
VA7	1
VAK	1
VCT	1
VCV	1
VDZ	1
VEE	1
VEL	0
VGC	1
VIK	1
VIS	0
VLD	0
VNY	1
VPS	1
VQS	1
VRB	1
VSF	1
VT1	1
VWD	0
VWE	1
VWK	1
VZY	1
WA1	1
WA3	1
WA5	1
WA6	1
WA7	1
WA9	1
WAA	1
WBB	1
WBQ	1
WCR	1
WFB	1
WHD	1
WKK	0
WLK	1
WMK	1
WMO	1
WNA	1
WQZ	1
WRG	1
WRI	0
WRL	0
WSG	1
WSN	1
WST	1
WSX	1
WTK	1
WTL	1
WVL	1
WWA	1
WWD	1
WWP	1
WWT	1
WYS	0
XNA	1
XSD	1
XWA	1
XWF	0
XXN	0
XXP	0
XXY	0
YAK	1
YIP	1
YKM	1
YNG	1
YUM	0
ZNC	1
ZXC	0
ZXF	1
ZXH	1
ZXM	1
ZXN	1
ZXU	1
ZZV	1
