nodeID layerID color size
28 5 green 10
29 5 green 10
30 5 orange 10
31 5 orange 10
32 5 orange 10
33 5 orange 10
34 5 orange 10
35 5 orange 10
36 5 orange 10
37 5 orange 10
38 5 orange 10
39 5 orange 10
40 5 orange 10
41 5 orange 10
42 5 orange 10
43 5 orange 10
44 5 orange 10
45 5 orange 10
46 5 orange 10
47 5 green 10
48 5 green 10
49 5 orange 10
50 5 orange 10
51 5 orange 10
52 5 green 10
53 5 green 10
54 5 green 10
55 5 orange 10
56 5 orange 10
57 5 green 10
58 5 orange 10
59 5 orange 10
60 5 orange 10
61 5 orange 10
62 5 orange 10
63 5 green 10
64 5 orange 10
65 5 green 10
66 5 orange 10
67 5 orange 10
68 5 orange 10
69 5 orange 10
70 5 orange 10
71 5 green 10
72 5 green 10
73 5 orange 10
74 5 orange 10
75 5 orange 10
76 5 orange 10
77 5 orange 10
78 5 orange 10
79 5 orange 10
80 5 orange 10
81 5 orange 10
82 5 orange 10
83 5 green 10
84 5 green 10
85 5 orange 10
86 5 orange 10
87 5 green 10
88 5 orange 10
89 5 green 10
90 5 green 10
91 5 green 10
92 5 orange 10
1 6 orange 10
2 6 orange 10
3 6 green 10
4 6 green 10
5 6 green 10
6 6 orange 10
7 6 green 10
8 6 green 10
9 6 green 10
10 6 green 10
11 6 orange 10
12 6 orange 10
13 6 orange 10
14 6 orange 10
15 6 orange 10
16 6 orange 10
17 6 orange 10
18 6 green 10
19 6 orange 10
20 6 green 10
21 6 orange 10
22 6 orange 10
23 6 orange 10
24 6 green 10
25 6 orange 10
26 6 orange 10
27 6 orange 10
28 6 green 10
29 6 green 10
30 6 orange 10
31 6 orange 10
32 6 orange 10
33 6 orange 10
34 6 orange 10
35 6 orange 10
36 6 orange 10
37 6 orange 10
38 6 orange 10
39 6 orange 10
40 6 orange 10
41 6 orange 10
42 6 orange 10
43 6 orange 10
44 6 orange 10
45 6 orange 10
46 6 orange 10
47 6 green 10
48 6 green 10
49 6 orange 10
50 6 orange 10
51 6 orange 10
52 6 green 10
53 6 green 10
54 6 green 10
55 6 orange 10
56 6 orange 10
57 6 green 10
58 6 orange 10
59 6 orange 10
60 6 orange 10
61 6 orange 10
62 6 orange 10
63 6 green 10
64 6 orange 10
65 6 green 10
66 6 orange 10
67 6 orange 10
68 6 orange 10
69 6 orange 10
70 6 orange 10
71 6 green 10
72 6 green 10
73 6 orange 10
74 6 orange 10
75 6 orange 10
76 6 orange 10
77 6 orange 10
78 6 orange 10
79 6 orange 10
80 6 orange 10
81 6 orange 10
82 6 orange 10
83 6 green 10
84 6 green 10
85 6 orange 10
86 6 orange 10
87 6 green 10
88 6 orange 10
89 6 green 10
90 6 green 10
91 6 green 10
92 6 orange 10
